name,altName,country,lat,lon,action,islandCrag,islandCragId
Jumkil,Uppsala,Sweden,59.940654,17.39934,map,Jumkil,516e27c062bfea195a010025
Brudberget,Stockholm,Sweden,59.245741,18.552046,map,Brudberget,516e27c062bfea195a00ffbb
Fern Gully,Fort Smith,"AR, USA",35.61716,-94.007725,add,,
Viidakkokalliot,Espoo,Finland,60.202437,24.585249,map,Espoo,516e621c62bfea195a022036
Gita,Nahariyya,Israel,32.932623,35.26886,map,Gita,516e7b0862bfea195a02a7d8
Sairinen,Uusikaupunki,Finland,60.763478,21.690338,add,,
Gandia,Costa Blanca,Spain,38.984699,-0.228095,map,Gandía,516d1ec8bdc0f71fdd023938
Mansikkakallio,Raahe,Finland,64.70689,24.510798,add,,
Rocher Canon,Fontainebleau,France,48.462521,2.663798,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Uusi Sipoo,Sipoo,Finland,60.311594,25.24817,map,Sipoo,516e621c62bfea195a022037
Bois Rond,Fontainebleau,France,48.390999,2.55764,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Karhunulkki,Rovaniemi,Finland,66.658011,25.288725,add,,
Kvarnby,Espoo,Finland,60.153809,24.359136,map,Kvarnby,516e621c62bfea195a022019
The Fintstone Wall,Nerang,Australia,-28.106358,153.265697,add,,
"Björnblocket, Västervik",Västervik,Sweden,57.970873,16.466806,map,Västervik,516e27c062bfea195a00ffb3
Shelf Road,Colorado Springs,"CO, USA",38.622772,-105.228424,map,Shelf Road,516cf536bdc0f71fdd007370
White Mountain,Yangshuo,China,24.715465,110.52246,map,Yangshuo,516e5df862bfea195a020795
Nissedal,Oslo,Norway,59.266275,8.410343,map,Nissedal,516e3f5a62bfea195a01779c
Ten Sleep Canyon,Ten Sleep,USA,44.173094,-107.247505,map,Ten Sleep,516cf536bdc0f71fdd00736a
Aspen,Göteborg,Sweden,57.769946,12.222719,map,Aspen,516e27bf62bfea195a00ff2e
Isoniittu,Kustavi,Finland,60.525114,21.426305,map,Isoniittu,516e621c62bfea195a022025
Black Valley,Trá Lí,Ireland,51.967935,-9.714532,add,,
Wichita Mountains Wildlife Refuge (WMWR),Lawton,"OK, USA",34.736428,-98.52376,add,,
Cuenca - Hoz del Júcar,Cuenca,Spain,40.091369,-2.129159,map,Cuenca,516d1ec8bdc0f71fdd023929
Olberget,Gävle,Sweden,61.309336,16.807922,map,Olberget,516e27c062bfea195a010026
Gaisenjarga,Kiruna,Sweden,68.273201,19.4196,map,Gaisenjarga,516e27c062bfea195a00fff5
Kärsämäki,Turku,Finland,60.493181,22.285359,map,Kärsämäki,516e621c62bfea195a022040
Jussarö,Helsinki,Finland,59.823336,23.578488,add,,
Pihlajasaari,Helsinki,Finland,60.137744,24.915619,add,,
Angelniemi,Salo,Finland,60.357102,23.032665,map,Angelniemi,516e621c62bfea195a02201c
Stem Bastensen,Lofoten,Norway,68.214401,14.217,map,Lofoten,516e3f5a62bfea195a017782
Frontales,El Chorro,Spain,36.913632,-4.759955,map,El Chorro,516d1ec8bdc0f71fdd023928
"Rödaväggen, Västervik",Västervik,Sweden,57.716206,16.593819,map,Västervik,516e27c062bfea195a00ffb3
Ketaranvuori,Nokia,Finland,61.484632,23.323496,map,Ketaranvuori,516e621c62bfea195a02201e
Wadi Rum,Al `Aqabah,Jordan,29.57663,35.419664,map,Wadi Rum,516e827e62bfea195a02c30c
Ekoberget,Stockholm,Sweden,59.32798,18.31893,map,Ekoberget,516e27bf62bfea195a00ff3d
Pallivaha,Turku,Finland,60.483848,22.276089,map,Pallivaha,516e621c62bfea195a02205b
Yonim,Nahariyya,Israel,32.923456,35.217662,map,Yonim,516e7b0862bfea195a02a7da
"Central Crags, Hong Kong",null,null,22.278499,114.147155,add,,
Rjukan,Oslo,Norway,59.878946,8.606415,add,,
Makinodromo,El Chorro,Spain,36.929386,-4.774414,map,El Chorro,516d1ec8bdc0f71fdd023928
Hakunila boulders,Helsinki,Finland,60.270901,25.1,add,,
Dödskalleberget,Stockholm,Sweden,59.195757,18.407153,map,Dödskalleberget,516e27bf62bfea195a00ff45
Ruhankallio,Riihimäki,Finland,60.785939,24.595728,add,,
Ogawayama,Kōfu,Japan,35.90751,138.639565,map,Ogawayama,516e7ee262bfea195a02b663
Bafa Lake,Bafa,Turkey,37.503734,27.526245,map,Bafa Lake,516d86d6bdc0f71fdd052419
Lion Rock,Kowloon,Hong Kong,22.352894,114.187388,add,,
Maple Canyon,Provo,"UT, USA",39.564081,-111.692891,map,Maple Canyon,516cf536bdc0f71fdd007366
Bor,Náchod,Czech Republic,50.486566,16.26931,map,Bor,516e769662bfea195a028c46
"Fjällbo, Utby",Göteborg,Sweden,57.743793,12.0611,add,,
Puumala,Lappeenranta,Finland,61.482071,28.730192,add,,
El Capitan,Yosemite,USA,37.726578,-119.63005,map,Yosemite,516cf537bdc0f71fdd007484
"Gold Bar, WA",Seattle,"WA, USA",47.843349,-121.617966,map,Gold Bar,516cf537bdc0f71fdd0074ad
Secret Garden,Kalymnos,Greece,37.050451,26.972277,map,Secret Garden,516e4e6362bfea195a01a8c8
Örebro Klättergym,Örebro,Sweden,59.275814,15.233224,add,,
Jamestown,Little Rock,"AR, USA",35.666362,-91.754816,map,Jamestown,516cf536bdc0f71fdd0073f3
Flatanger,Trondheim,Norway,64.489858,10.818615,map,Flatanger,516e3f5a62bfea195a017793
Holy Boulders,Pomona,USA,37.618311,-89.418497,map,Holy Boulders,516cf537bdc0f71fdd0074ec
Gandalfveggen,Lofoten,Norway,68.172369,14.21677,map,Lofoten,516e3f5a62bfea195a017782
Bahratal,Děčín,Czech Republic,50.883164,13.981562,map,Bahratal,516cec69bdc0f71fdd00140c
Maltatal,Spittal An Der Drau,Austria,47.038778,13.389587,map,Maltatal,516ec82e91e67300000000b1
Sundom,Vaasa,Finland,63.060909,21.576462,map,Vaasa,516e621c62bfea195a022031
Boulder City,La Jara,USA,37.361342,-106.266643,map,Boulder Canyon,516cf537bdc0f71fdd0074a1
Paavalinvuori,Jyväskylä,Finland,62.140545,25.700626,map,Jyväskylä,516e621c62bfea195a022047
